StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-12-08 14:49:46,2025-12-08 14:50:56,20,0,14,10
2025-12-08 15:08:14,2025-12-08 15:09:19,16,0,11,8
2025-12-08 15:17:08,2025-12-08 15:27:14,101,4,71,55
2025-12-08 15:44:33,2025-12-08 15:45:00,6,0,4,3
2025-12-08 15:45:00,2025-12-08 16:00:00,613,24,434,334
2025-12-08 16:00:00,2025-12-08 16:15:00,455,18,322,248
2025-12-08 16:15:00,2025-12-08 16:15:08,13,0,9,7
2025-12-08 17:44:20,2025-12-08 17:45:00,6,0,4,3
2025-12-08 17:45:00,2025-12-08 17:52:46,638,25,452,348
2025-12-08 18:14:40,2025-12-08 18:15:00,3,0,2,1
2025-12-08 18:15:00,2025-12-08 18:30:00,414,16,293,225
2025-12-08 18:30:00,2025-12-08 18:43:46,1288,52,913,702
2025-12-08 18:51:57,2025-12-08 18:53:45,24,0,17,13
2025-12-08 19:05:16,2025-12-08 19:14:45,805,32,571,439
2025-12-08 19:15:15,2025-12-08 19:18:25,49,1,34,26
2025-12-08 20:01:33,2025-12-08 20:09:53,43,1,30,23
2025-12-08 22:45:31,2025-12-08 22:46:52,34,1,24,18
2025-12-08 23:15:20,2025-12-08 23:16:20,10,0,7,5
2025-12-08 23:15:00,2025-12-08 23:16:20,10,0,7,5
2025-12-09 00:27:27,2025-12-09 00:28:36,23,0,16,12
2025-12-09 09:51:01,2025-12-09 09:52:20,26,1,18,14
2025-12-09 10:01:16,2025-12-09 10:05:52,138,5,97,75
2025-12-09 10:18:02,2025-12-09 10:19:02,10,0,7,5
2025-12-09 10:38:49,2025-12-09 10:44:17,50,2,35,27
2025-12-09 11:15:43,2025-12-09 11:25:04,53,2,37,28
2025-12-09 12:00:28,2025-12-09 12:07:52,49,1,34,26
2025-12-09 12:29:20,2025-12-09 12:30:00,8,0,5,4
2025-12-09 12:30:00,2025-12-09 12:38:36,33,1,23,18
2025-12-09 12:45:07,2025-12-09 13:00:00,112,4,79,61
2025-12-09 13:00:00,2025-12-09 13:14:57,427,17,302,232
2025-12-09 13:15:19,2025-12-09 13:30:00,132,5,93,72
2025-12-09 13:30:00,2025-12-09 13:45:00,1230,49,872,670
2025-12-09 13:45:00,2025-12-09 13:50:34,425,17,301,231
2025-12-09 14:09:29,2025-12-09 14:15:00,513,20,363,279
2025-12-09 14:15:00,2025-12-09 14:19:18,169,6,119,92
2025-12-09 15:08:40,2025-12-09 15:14:31,261,10,185,142
2025-12-09 15:50:20,2025-12-09 16:00:00,80,3,56,43
2025-12-09 16:00:00,2025-12-09 16:07:12,160,6,113,87
2025-12-09 17:01:04,2025-12-09 17:02:52,64,2,45,34
2025-12-09 18:01:10,2025-12-09 18:15:00,1283,51,910,699
2025-12-09 18:15:00,2025-12-09 18:17:27,170,6,120,92
2025-12-09 18:33:23,2025-12-09 18:43:05,831,33,589,453
2025-12-09 19:02:00,2025-12-09 19:03:00,15,0,10,8
2025-12-09 19:25:28,2025-12-09 19:26:28,14,0,9,7
2025-12-09 19:48:56,2025-12-09 19:50:01,15,0,10,8
2025-12-09 21:12:37,2025-12-09 21:14:04,35,1,24,19
2025-12-09 23:34:01,2025-12-09 23:35:29,15,0,10,8
2025-12-09 23:48:13,2025-12-09 23:58:00,27,1,19,14
2025-12-09 23:45:00,2025-12-09 23:58:00,27,1,19,14
2025-12-10 00:01:21,2025-12-10 00:15:00,48,1,34,26
2025-12-10 00:15:00,2025-12-10 00:15:24,9,0,6,4
2025-12-10 09:39:58,2025-12-10 09:41:03,30,1,21,16
2025-12-10 09:54:59,2025-12-10 09:56:27,44,1,31,24
2025-12-10 10:54:31,2025-12-10 10:55:41,26,1,18,14
2025-12-10 11:08:09,2025-12-10 11:09:37,30,1,21,16
2025-12-10 12:05:31,2025-12-10 12:06:45,33,1,23,18
2025-12-10 12:29:07,2025-12-10 12:30:00,16,0,11,8
2025-12-10 12:30:00,2025-12-10 12:37:30,167,6,118,91
2025-12-10 12:52:06,2025-12-10 13:00:00,172,6,122,93
2025-12-10 13:00:00,2025-12-10 13:00:10,5,0,3,2
2025-12-10 15:18:51,2025-12-10 15:30:00,564,22,400,307
2025-12-10 15:30:00,2025-12-10 15:32:46,176,7,124,96
2025-12-10 15:48:51,2025-12-10 15:59:59,559,22,396,304
2025-12-10 16:00:00,2025-12-10 16:12:43,208,8,147,113
2025-12-10 16:39:52,2025-12-10 16:45:00,374,15,265,204
2025-12-10 16:45:00,2025-12-10 17:00:00,897,36,636,489
2025-12-10 17:00:00,2025-12-10 17:15:00,577,23,409,314
2025-12-10 17:15:00,2025-12-10 17:16:37,143,5,101,78
2025-12-10 17:36:13,2025-12-10 17:41:24,120,4,85,65
2025-12-10 17:50:20,2025-12-10 17:57:57,209,8,148,114
2025-12-10 18:07:52,2025-12-10 18:15:00,157,6,111,85
2025-12-10 18:15:00,2025-12-10 18:30:00,86,3,61,46
2025-12-10 18:30:00,2025-12-10 18:45:00,162,6,114,88
2025-12-10 18:45:00,2025-12-10 18:59:59,381,15,270,207
2025-12-10 19:00:00,2025-12-10 19:14:59,787,31,558,429
2025-12-10 19:15:00,2025-12-10 19:30:00,36,1,25,19
2025-12-10 19:30:00,2025-12-10 19:45:00,1047,42,742,571
2025-12-10 19:45:01,2025-12-10 19:47:56,131,5,92,71
2025-12-10 20:11:02,2025-12-10 20:12:11,20,0,14,10
2025-12-10 21:27:26,2025-12-10 21:28:28,11,0,7,6
2025-12-10 22:54:42,2025-12-10 22:58:46,90,3,63,49
2025-12-10 22:45:00,2025-12-10 22:58:46,90,3,63,49
2025-12-11 00:49:33,2025-12-11 00:51:01,37,1,26,20
2025-12-11 07:29:03,2025-12-11 07:30:00,26,1,18,14
2025-12-11 07:30:00,2025-12-11 07:44:37,38,1,26,20
2025-12-11 07:51:54,2025-12-11 08:00:00,311,12,220,169
2025-12-11 08:00:00,2025-12-11 08:02:23,260,10,184,141
2025-12-11 08:28:54,2025-12-11 08:30:00,19,0,13,10
2025-12-11 08:30:00,2025-12-11 08:39:39,1011,40,717,551
2025-12-11 10:02:09,2025-12-11 10:09:56,166,6,117,90
2025-12-11 11:45:05,2025-12-11 11:58:04,559,22,396,304
2025-12-11 12:03:59,2025-12-11 12:14:31,495,20,351,270
2025-12-11 12:21:36,2025-12-11 12:23:52,74,2,52,40
2025-12-11 13:10:00,2025-12-11 13:13:46,94,3,66,51
2025-12-11 13:24:17,2025-12-11 13:25:17,18,0,12,9
2025-12-11 14:00:43,2025-12-11 14:15:00,929,37,659,506
2025-12-11 14:15:00,2025-12-11 14:30:00,1461,58,1036,796
2025-12-11 14:30:00,2025-12-11 14:45:00,350,14,248,190
2025-12-11 14:45:00,2025-12-11 15:00:00,936,37,664,510
2025-12-11 15:00:00,2025-12-11 15:15:00,417,16,295,227
2025-12-11 15:15:00,2025-12-11 15:30:00,602,24,427,328
2025-12-11 15:30:00,2025-12-11 15:45:00,861,34,610,469
2025-12-11 15:45:00,2025-12-11 16:00:00,656,26,465,357
2025-12-11 16:00:00,2025-12-11 16:12:29,312,12,221,170
2025-12-11 16:17:06,2025-12-11 16:26:13,347,14,246,189
2025-12-11 16:30:58,2025-12-11 16:45:00,1004,40,712,547
2025-12-11 16:45:00,2025-12-11 17:00:00,976,39,692,532
2025-12-11 17:00:00,2025-12-11 17:09:56,208,8,147,113
2025-12-11 17:19:03,2025-12-11 17:30:00,98,3,69,53
2025-12-11 17:30:00,2025-12-11 17:43:22,193,7,136,105
2025-12-11 17:50:55,2025-12-11 18:00:00,416,16,295,226
2025-12-11 18:00:00,2025-12-11 18:15:00,280,11,198,152
2025-12-11 18:15:00,2025-12-11 18:30:00,223,8,158,121
2025-12-11 18:30:00,2025-12-11 18:43:23,116,4,82,63
2025-12-11 18:48:05,2025-12-11 18:59:58,109,4,77,59
2025-12-11 19:00:10,2025-12-11 19:13:09,594,24,421,324
2025-12-11 19:22:42,2025-12-11 19:28:21,292,11,207,159
2025-12-11 19:40:43,2025-12-11 19:44:22,229,9,162,124
2025-12-11 19:46:00,2025-12-11 19:47:19,46,1,32,25
2025-12-11 19:45:00,2025-12-11 20:00:00,70,2,49,38
2025-12-11 20:00:00,2025-12-11 20:15:00,75,3,53,40
2025-12-11 20:15:00,2025-12-11 20:30:00,75,3,53,40
2025-12-11 20:30:00,2025-12-11 20:45:00,75,3,53,40
2025-12-11 20:45:00,2025-12-11 21:00:00,75,3,53,40
2025-12-11 21:00:00,2025-12-11 21:15:00,75,3,53,40
2025-12-11 21:15:00,2025-12-11 21:30:00,75,3,53,40
2025-12-11 21:30:00,2025-12-11 21:45:00,75,3,53,40
2025-12-11 21:45:00,2025-12-11 22:00:00,75,3,53,40
2025-12-11 22:00:00,2025-12-11 22:15:00,75,3,53,40
2025-12-11 22:15:00,2025-12-11 22:30:00,75,3,53,40
2025-12-11 22:30:00,2025-12-11 22:45:00,75,3,53,40
2025-12-11 22:45:00,2025-12-11 23:00:00,75,3,53,40
2025-12-11 23:00:00,2025-12-11 23:15:00,75,3,53,40
2025-12-11 23:15:00,2025-12-11 23:30:00,75,3,53,40
2025-12-11 23:30:00,2025-12-11 23:45:00,75,3,53,40
2025-12-11 23:45:00,2025-12-11 23:52:24,99,4,70,54
2025-12-12 07:05:20,2025-12-12 07:12:36,37,1,26,20
2025-12-12 07:26:40,2025-12-12 07:29:26,58,2,41,31
2025-12-12 07:33:16,2025-12-12 07:40:17,389,15,276,212
2025-12-12 07:57:06,2025-12-12 08:00:00,234,9,166,127
2025-12-12 08:00:00,2025-12-12 08:09:00,339,13,241,184
2025-12-12 09:35:54,2025-12-12 09:42:32,88,3,62,48
2025-12-12 09:48:42,2025-12-12 10:00:00,706,28,502,385
2025-12-12 10:00:00,2025-12-12 10:11:46,295,11,210,160
2025-12-12 10:16:46,2025-12-12 10:19:18,24,0,17,13
2025-12-12 11:46:33,2025-12-12 12:00:00,459,18,326,250
2025-12-12 12:00:00,2025-12-12 12:15:00,1110,44,790,605
2025-12-12 12:15:00,2025-12-12 12:23:59,1015,40,722,553
2025-12-12 13:37:52,2025-12-12 13:45:00,101,4,71,55
2025-12-12 13:45:00,2025-12-12 13:58:26,967,39,688,527
2025-12-12 14:02:40,2025-12-12 14:15:00,610,24,434,332
2025-12-12 14:15:00,2025-12-12 14:30:00,728,29,518,397
2025-12-12 14:30:00,2025-12-12 14:45:00,437,17,311,238
2025-12-12 14:45:00,2025-12-12 15:00:00,265,10,188,144
2025-12-12 15:00:00,2025-12-12 15:05:59,303,12,215,165
2025-12-12 15:18:28,2025-12-12 15:30:00,544,21,387,296
2025-12-12 15:30:00,2025-12-12 15:45:00,550,22,391,300
2025-12-12 15:45:00,2025-12-12 16:00:00,731,29,520,398
2025-12-12 16:00:00,2025-12-12 16:15:00,1242,50,884,677
2025-12-12 16:15:00,2025-12-12 16:23:33,789,31,561,430
2025-12-12 17:51:50,2025-12-12 18:00:00,753,30,536,410
2025-12-12 18:00:00,2025-12-12 18:10:21,488,19,347,266
2025-12-12 18:16:34,2025-12-12 18:20:03,193,7,137,105
2025-12-12 18:50:24,2025-12-12 18:52:19,79,3,56,43
2025-12-12 19:11:09,2025-12-12 19:12:17,16,0,11,8
2025-12-12 19:21:27,2025-12-12 19:22:37,24,0,17,13
2025-12-12 19:35:11,2025-12-12 19:45:00,388,15,276,211
2025-12-12 19:45:00,2025-12-12 19:54:32,820,33,583,447
