StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-12-11 13:00:00,2025-12-11 13:15:00,168,5,119,92
2025-12-11 13:15:00,2025-12-11 13:30:00,168,5,119,92
2025-12-11 13:30:00,2025-12-11 13:45:00,168,5,119,92
2025-12-11 13:45:00,2025-12-11 14:00:00,168,5,119,92
2025-12-11 14:00:00,2025-12-11 14:15:00,168,5,119,92
2025-12-11 14:15:00,2025-12-11 14:30:00,168,5,119,92
2025-12-11 14:30:00,2025-12-11 14:45:00,168,5,119,92
2025-12-11 14:45:00,2025-12-11 15:00:00,168,5,119,92
2025-12-11 15:00:00,2025-12-11 15:15:00,168,5,119,92
2025-12-11 15:15:00,2025-12-11 15:30:00,168,5,119,92
2025-12-11 15:30:00,2025-12-11 15:45:00,168,5,119,92
2025-12-11 15:45:00,2025-12-11 16:00:00,168,5,119,92
2025-12-11 16:00:00,2025-12-11 16:15:00,168,5,119,92
2025-12-11 16:15:00,2025-12-11 16:30:00,168,5,119,92
2025-12-11 16:30:00,2025-12-11 16:45:00,168,5,119,92
2025-12-11 16:45:00,2025-12-11 17:00:00,168,5,119,92
2025-12-11 17:00:00,2025-12-11 17:15:00,168,5,119,92
2025-12-11 17:15:00,2025-12-11 17:30:00,168,5,119,92
2025-12-11 17:30:00,2025-12-11 17:45:00,168,5,119,92
2025-12-11 17:45:00,2025-12-11 18:00:00,168,5,119,92
2025-12-11 18:00:00,2025-12-11 18:15:00,168,5,119,92
2025-12-11 18:15:00,2025-12-11 18:30:00,168,5,119,92
2025-12-11 18:30:00,2025-12-11 18:45:00,168,5,119,92
2025-12-11 18:45:00,2025-12-11 19:00:00,168,5,119,92
2025-12-11 19:00:00,2025-12-11 19:15:00,168,5,119,92
2025-12-11 19:15:00,2025-12-11 19:30:00,168,5,119,92
2025-12-11 19:30:00,2025-12-11 19:45:00,168,5,119,92
2025-12-11 19:45:00,2025-12-11 20:00:00,168,5,119,92
2025-12-11 20:00:00,2025-12-11 20:15:00,168,5,119,92
2025-12-11 20:15:00,2025-12-11 20:30:00,168,5,119,92
2025-12-11 20:30:00,2025-12-11 20:45:00,168,5,119,92
2025-12-11 20:45:00,2025-12-11 21:00:00,168,5,119,92
2025-12-11 21:00:00,2025-12-11 21:15:00,168,5,119,92
2025-12-11 21:15:00,2025-12-11 21:30:00,168,5,119,92
2025-12-11 21:30:00,2025-12-11 21:45:00,168,5,119,92
2025-12-11 21:45:00,2025-12-11 22:00:00,168,5,119,92
2025-12-11 22:00:00,2025-12-11 22:15:00,168,5,119,92
2025-12-11 22:15:00,2025-12-11 22:30:00,168,5,119,92
2025-12-11 22:30:00,2025-12-11 22:45:00,168,5,119,92
2025-12-11 22:45:00,2025-12-11 22:59:16,207,5,113,92
2025-12-12 08:15:00,2025-12-12 08:30:00,94,3,67,51
2025-12-12 08:30:00,2025-12-12 08:45:00,263,8,186,143
2025-12-12 08:45:00,2025-12-12 09:00:00,263,8,186,143
2025-12-12 09:00:00,2025-12-12 09:15:00,263,8,186,143
2025-12-12 09:15:00,2025-12-12 09:30:00,263,8,186,143
2025-12-12 09:30:00,2025-12-12 09:45:00,263,8,186,143
2025-12-12 09:45:00,2025-12-12 10:00:00,263,8,186,143
2025-12-12 10:00:00,2025-12-12 10:15:00,263,8,186,143
2025-12-12 10:15:00,2025-12-12 10:30:00,263,8,186,143
2025-12-12 10:30:00,2025-12-12 10:45:00,263,8,186,143
2025-12-12 10:45:00,2025-12-12 11:00:00,263,8,186,143
2025-12-12 11:00:00,2025-12-12 11:15:00,263,8,186,143
2025-12-12 11:15:00,2025-12-12 11:30:00,263,8,186,143
2025-12-12 11:30:00,2025-12-12 11:45:00,263,8,186,143
2025-12-12 11:45:00,2025-12-12 12:00:00,263,8,186,143
2025-12-12 12:00:00,2025-12-12 12:15:00,263,8,186,143
2025-12-12 12:15:00,2025-12-12 12:30:00,263,8,186,143
2025-12-12 12:30:00,2025-12-12 12:45:00,263,8,186,143
2025-12-12 12:45:00,2025-12-12 13:00:00,263,8,186,143
2025-12-12 13:00:00,2025-12-12 13:15:00,263,8,186,143
2025-12-12 13:15:00,2025-12-12 13:30:00,263,8,186,143
2025-12-12 13:30:00,2025-12-12 13:45:00,263,8,186,143
2025-12-12 13:45:00,2025-12-12 14:00:00,263,8,186,143
2025-12-12 14:00:00,2025-12-12 14:15:00,263,8,186,143
2025-12-12 14:15:00,2025-12-12 14:30:00,263,8,186,143
2025-12-12 14:30:00,2025-12-12 14:45:00,263,8,186,143
2025-12-12 14:45:00,2025-12-12 15:00:00,263,8,186,143
2025-12-12 15:00:00,2025-12-12 15:15:00,263,8,186,143
2025-12-12 15:15:00,2025-12-12 15:30:00,263,8,186,143
2025-12-12 15:30:00,2025-12-12 15:45:00,263,8,186,143
2025-12-12 15:45:00,2025-12-12 16:00:00,263,8,186,143
2025-12-12 16:00:00,2025-12-12 16:15:00,263,8,186,143
2025-12-12 16:15:00,2025-12-12 16:30:00,263,8,186,143
2025-12-12 16:30:00,2025-12-12 16:45:00,263,8,186,143
2025-12-12 16:45:00,2025-12-12 17:00:00,263,8,186,143
2025-12-12 17:00:00,2025-12-12 17:15:00,263,8,186,143
2025-12-12 17:15:00,2025-12-12 17:30:00,263,8,186,143
2025-12-12 17:30:00,2025-12-12 17:45:00,263,8,186,143
2025-12-12 17:45:00,2025-12-12 18:00:00,263,8,186,143
2025-12-12 18:00:00,2025-12-12 18:15:00,263,8,186,143
2025-12-12 18:15:00,2025-12-12 18:30:00,263,8,186,143
2025-12-12 18:30:00,2025-12-12 18:45:00,263,8,186,143
2025-12-12 18:45:00,2025-12-12 19:00:00,263,8,186,143
2025-12-12 19:00:00,2025-12-12 19:15:00,263,8,186,143
2025-12-12 19:15:00,2025-12-12 19:30:00,263,8,186,143
2025-12-12 19:30:00,2025-12-12 19:45:00,263,8,186,143
2025-12-12 19:45:00,2025-12-12 20:00:00,263,8,186,143
2025-12-12 20:00:00,2025-12-12 20:15:00,263,8,186,143
2025-12-12 20:15:00,2025-12-12 20:30:00,263,8,186,143
2025-12-12 20:30:00,2025-12-12 20:45:00,263,8,186,143
2025-12-12 20:45:00,2025-12-12 21:00:00,263,8,186,143
2025-12-12 21:00:00,2025-12-12 21:15:00,263,8,186,143
2025-12-12 21:15:00,2025-12-12 21:30:00,263,8,186,143
2025-12-12 21:30:00,2025-12-12 21:45:00,263,8,186,143
2025-12-12 21:45:00,2025-12-12 22:00:00,263,8,186,143
2025-12-12 22:00:00,2025-12-12 22:15:00,263,8,186,143
2025-12-12 22:15:00,2025-12-12 22:30:00,263,8,186,143
2025-12-12 22:30:00,2025-12-12 22:45:00,263,8,186,143
2025-12-12 22:45:00,2025-12-12 23:00:00,263,8,186,143
2025-12-12 23:00:00,2025-12-12 23:12:54,246,7,160,160
2025-12-08 00:30:00,2025-12-08 00:45:00,31,1,22,17
2025-12-08 00:45:00,2025-12-08 01:00:00,74,2,52,40
2025-12-08 01:00:00,2025-12-08 01:15:00,74,2,52,40
2025-12-08 01:15:00,2025-12-08 01:30:00,74,2,52,40
2025-12-08 01:30:00,2025-12-08 01:45:00,74,2,52,40
2025-12-08 01:45:00,2025-12-08 02:00:00,74,2,52,40
2025-12-08 02:00:00,2025-12-08 02:15:00,74,2,52,40
2025-12-08 02:15:00,2025-12-08 02:30:00,74,2,52,40
2025-12-08 02:30:00,2025-12-08 02:45:00,74,2,52,40
2025-12-08 02:45:00,2025-12-08 03:00:00,74,2,52,40
2025-12-08 03:00:00,2025-12-08 03:15:00,74,2,52,40
